Branch_ID,Branch_Name,Branch_Tel,Branch_Zipcode,Branch_City,Branch_State,Branch_Region,
BX-196-675,BMW of Escondido,311- 088-1767,92029,Escondido,California,Western,
BX-150-710,BMW of Fremont,957- 272-6674,94538,Fremont,California,Western,
BX-330-028,BMW Fresno,646- 964-4636,93650,Fresno,California,Western,
BX-235-203,Pacific BMW,146- 884-9593,91204,Glendale,California,Western,
BX-126-464,Irvine,173- 477-7931,92618,Irvine,California,Western,
BX-996-391,Long Beach BMW,423- 283-7244,90755,Long Beach,California,Western,
BX-650-863,Beverly Hills BMW,988- 824-8770,90036,Los angeles,California,Western,
BX-980-921,Nick Alexander Imports,045- 656-3364,90001,Los angeles,California,Western,
BX-438-526,BMW of Humboldt Bay,558- 429-4535,95519,McKinleyville,California,Western,
BX-419-449,Valley BMW,179- 785-6242,95356,Modesto,California,Western,
BX-081-407,BMW of Monrovia,644- 090-2019,91016,Monrovia,California,Western,
BX-512-266,BMW of Mountain View,717- 122-2123,94040,MountainView,California,Western,
BX-759-869,BMW of Murrieta,303- 667-1911,92562,Murrieta,California,Western,
BX-182-832,Sterling BMW ,154- 170-3715,92663,Newport Beach,California,Western,
BX-605-700,Century West BMW,546- 218-3712,91602,North Hollywood,California,Western,
BX-427-923,Mckenna BMW,910- 644-7896,90650,Norwalk,California,Western,
BX-532-239,BMW of Ontario,086- 859-6271,91761,Ontario,California,Western,
BX-283-372,BMW of Palm Springs,439- 614-5720,92264,Palm Springs,California,Western,
BX-079-491,East Bay BMW,047- 523-4613,93588,Pleasanton,California,Western,
BX-878-903,BMW of Riverside,307- 830-6363,92504,Riverside,California,Western,
BX-490-499,BMW of Roseville,630- 544-6599,95661,Roseville,California,Western,
BX-694-367,Niello BMW Sacramento,090- 257-1685,95825,Sacramento,California,Western,
BX-349-259,BMW of San Diego,734- 121-2237,92111,San Diego,California,Western,
BX-828-629,BMW of San Francisco,010- 894-1531,94103,San Francisco,California,Western,
BX-783-618,BMW of San Luis Obispo,260- 910-4833,93405,San Luis Obispo,California,Western,
BX-429-059,Peter Pan BMW,373- 143-7593,94403,San mateo,California,Western,
BX-692-188,BMW of San Rafael,154- 082-9788,94901,San Rafael,California,Western,
BX-820-221,Crevier BMW,490- 188-0702,92705,Santa Ana,California,Western,
BX-366-292,BMW Santa Barbara,928- 177-9439,93105,Santa Barbara,California,Western,
BX-011-049,Stevens Creek BMW,754- 120-4735,95051,Santa Clara,California,Western,
BX-392-853,BMW of Santa Maria,776- 527-3483,93455,Santa Maria,California,Western,
BX-782-494,Santa Monica,039- 795-8806,90401,Santa Monica,California,Western,
BX-677-283,Hansel BMW,434- 769-2317,95407,Santa Rosa,California,Western,
BX-503-918,BMW of Monterey,618- 450-7812,93955,Seaside,California,Western,
BX-407-764,Center BMW,382- 110-3222,91401,Sherman Oaks,California,Western,
BX-750-046,Rusnak BMW,397- 896-5649,91362,Thousand Oaks,California,Western,
BX-248-106,South Bay BMW,343- 839-4092,90504,Torrance,California,Western,
BX-826-974,Valencia BMW,874- 045-4020,91355,Valencia,California,Western,
BX-305-977,BMW of Visalia,073- 881-3864,93291,Visalia,California,Western,
BX-830-292,BMW of Vista,982- 188-4473,92081,Vista,California,Western,
BX-247-326,Gebhardt BMW,893- 486-8829,80301,Boulder,Colorado,Western,
BX-515-351,Winslow BMW of Colorado Springs,403- 929-3190,80918,Colorado Springs,Colorado,Western,
BX-857-923,BMW of Denver Downtown,333- 783-3101,80246,Denver,Colorado,Western,
BX-868-249,Schomp BMW,083- 148-2826,80129,Highlands Ranch,Colorado,Western,
BX-345-790,Co's BMW Center,757- 572-8702,80538,Loveland,Colorado,Western,
BX-452-204,BMW of Bridgeport,832- 048-7321,06606,Bridgeport,Connecticut,Northeastern ,
BX-630-973,BMW of Darien,307- 087-9908,06820,Darien,Connecticut,Northeastern ,
BX-883-629,BMW of Greenwich,728- 081-2295,06830,Greenwich,Connecticut,Northeastern ,
BX-010-988,New country BMW,535- 355-1448,06120,Hartford,Connecticut,Northeastern ,
BX-672-535,BMW of New London,440- 910-7578,06320,New London,Connecticut,Northeastern ,
BX-039-325,BMW of North Haven,309- 500-3476,06473,North Haven,Connecticut,Northeastern ,
BX-678-505,BMW of Ridgefield,020- 388-3822,06877,Ridgefield,Connecticut,Northeastern ,
BX-387-108,BMW of Watertown,052- 979-4827,06795,Watertown,Connecticut,Northeastern ,
BX-304-222,i. g. Burton BMW,707- 966-0177,19963,Milford,Delaware,Mid-Atlantic,
BX-436-895,Union Park BMW,828- 984-1328,19806,Wilmington,Delaware,Mid-Atlantic,
BX-949-021,Vista BMW Coconut Creek,780-562-0627,33073,Coconut Creek,Florida,Southeasternmost,
BX-952-462,Fields BMW of Daytona,480- 256-6238,32124,Daytona Beach,Florida,Southeasternmost,
BX-765-536,BMW of Delray Beach,075- 621-6895,33444,Delray Beach,Florida,Southeasternmost,
BX-650-242,BMW of Fort Lauderdale,646- 718-3675,33316,Fort Lauderdale,Florida,Southeasternmost,
BX-604-019,BMW of Fort Myers,105- 339-1929,33908,Fort Myers,Florida,Southeasternmost,
BX-342-146,Coggin BMW Treasure Coast,292- 542-3189,34982,Fort Pierce,Florida,Southeasternmost,
BX-015-550,BMW of Fort Walton Beach,331- 776-2035,32547,Fort Walton Beach,Florida,Southeasternmost,
BX-072-713,BMW of Gainesville,632- 857-0850,32609,Gainesville,Florida,Southeasternmost,
BX-241-264,Tom Bush BMW Jacksonville,356- 305-2971,32225,Jacksonville,Florida,Southeasternmost,
BX-560-426,Tom Bush BMW Orange Park,599- 529-6444,32244,Jacksonville,Florida,Southeasternmost,
BX-168-602,Braman BMW Jupiter,583- 921-0842,33458,Jupiter,Florida,Southeasternmost,
BX-062-521,Fields BMW Lakeland,105- 067-2977,33809,Lakeland,Florida,Southeasternmost,
BX-905-444,Melbourne BMW,732- 319-8273,32901,Melbourne,Florida,Southeasternmost,
BX-688-340,Braman BMW,562- 928-2027,33137,Miami,Florida,Southeasternmost,
BX-650-098,South Motors BMW,813- 943-8250,33157,Miami,Florida,Southeasternmost,
BX-887-954,Germain BMW of Naples,431- 888-5843,34110,Naples,Florida,Southeasternmost,
BX-305-277,BMW of Ocala,146- 474-1093,34474,Ocala,Florida,Southeasternmost,
BX-618-677,Fields BMW South Orlando,326- 982-9309,32837,Orlando,Florida,Southeasternmost,
BX-403-380,Ferman BMW,216- 430-6687,34684,Palm Harbor,Florida,Southeasternmost,
BX-132-252,Lauderdale BMW of Pembroke Pines,187- 965-6575,33331,Pembroke Pines,Florida,Southeasternmost,
BX-591-207,Sandy Sansing BMW,040- 000-0440,32505,Pensacola,Florida,Southeasternmost,
BX-124-304,Vista BMW Pompano Beach,326- 024-3180,33062,PomoanoBeach,Florida,Southeasternmost,
BX-671-178,Bert Smith BMW,243- 172-3193,33714,Saint Peterburg,Florida,Southeasternmost,
BX-442-902,BMW of Sarasota,672- 444-9265,34233,Sarasota,Florida,Southeasternmost,
BX-125-720,Capital BMW,492- 905-8334,32304,Tallahassee,Florida,Southeasternmost,
BX-182-137,Reeves BMW Tampa,958- 129-9772,33612,Tampa,Florida,Southeasternmost,
BX-957-250,Braman BMW West Palm Beach,077- 650-7120,33409,West Palm Beach,Florida,Southeasternmost,
BX-073-930,Fields BMW Winter Park,943- 220-1280,32789,Winter Park,Florida,Southeasternmost,
BX-327-921,BMW of Albany,319- 320-0431,31705,Albany,Georgia,Southeastern,
BX-281-630,Athens BMW,958- 317-5805,30606,Athens,Georgia,Southeastern,
BX-697-527,Global Imports BMW,783- 792-4335,30339,Atlanta,Georgia,Southeastern,
BX-320-500,BMW of Columbus,302- 255-0592,31909,Columbus,Georgia,Southeastern,
BX-064-500,Nalley BMW of Decatur,244- 174-5631,30033,Decatur,Georgia,Southeastern,
BX-349-569,BMW of Gwinnett Place,868- 257-6086,30096,Duluth,Georgia,Southeastern,
BX-258-934,Taylor BMW,117- 911-0806,30809,Evans,Georgia,Southeastern,
BX-738-342,BMW of Macon,961- 287-4284,31210,Macon,Georgia,Southeastern,
BX-363-790,United BMW,286- 535-8877,30004,Alpharetta,Georgia,Southeastern,
BX-128-653,Critz BMW,688- 786-0248,31406,Savannah,Georgia,Southeastern,
BX-741-158,BMW of South Atlanta,318- 557-1987,30291,Union City,Georgia,Southeastern,
BX-927-507,BMW of Honolulu,271- 476-7713,96813,Honolulu,Hawaii,Western,
BX-866-284,BMW of Maui,350- 817-9919,96732,Kahului,Hawaii,Western,
BX-077-641,BMW of Hawaii,427- 843-4799,96740,Kailua-Kona,Hawaii,Western,
BX-773-486,Peterson BMW of Boise,519- 949-4299,83704,Boise,Idaho,Northwestern,
BX-154-262,BMW of Idaho Falls,262- 538-6465,83402,Idaho Falls,Idaho,Northwestern,
BX-028-145,BMW of Barrington,063- 598-0009,60010,Barrington,Illinois,Midwestern,
BX-883-211,BMW of Bloomington,630- 373-3613,61704,Bloomington,Illinois,Midwestern,
BX-050-572,Perillo BMW,228- 892-6142,60610,Chicago,Illinois,Midwestern,
BX-542-618,BMW of Crystal Lake,990- 056-8658,60014,Crystal Lake,Illinois,Midwestern,
BX-705-354,Elmhurst BMW,041- 673-0850,60126,Elmhurst,Illinois,Midwestern,
BX-553-675,Karl Knauz BMW,150- 568-7459,60044,Lake Bluff,Illinois,Midwestern,
BX-848-467,Bill Jacobs BMW,360- 518-2030,60540,Naperville,Illinois,Midwestern,
BX-434-004,Fields BMW Northfield,837- 079-4430,60093,Northfield,Illinois,Midwestern,
BX-730-765,Newbold BMW,767- 482-2552,62269,O'Fallon,Illinois,Midwestern,
BX-150-514,BMW of Orland Park,140- 073-4703,60467,Orland Park,Illinois,Midwestern,
BX-751-612,BMW of Peoria,362- 472-6800,61615,Peoria,Illinois,Midwestern,
BX-095-814,Bachrodt BMW,319- 640-6738,61112,Rockford,Illinois,Midwestern,
BX-371-750,BMW of Champaign,035- 113-7625,61874,Savoy,Illinois,Midwestern,
BX-150-372,Patrick BMW,498- 621-8750,60173,Schaumburg,Illinois,Midwestern,
BX-938-773,Isringhausen Imports,467- 815-4336,62701,Springfield,Illinois,Midwestern,
BX-079-742,Laurel BMW of Westmont,300- 475-2726,60559,Westmont,Illinois,Midwestern,
BX-268-378,D-Patrick Motoplex,438- 857-7568,47715,Evansville,Indiana,Northwest,
BX-689-963,BMW of Fort Wayne,055- 384-3520,46804,Fort Wayne,Indiana,Northwest,
BX-175-195,Dreyer & Reinbold BMW,018- 004-5424,46143,Greenwood,Indiana,Northwest,
BX-447-420,Dreyer & Reinbold BMW,780- 988-1409,46240,Indianapolis,Indiana,Northwest,
BX-326-207,BMW of Lafayette,101- 388-0586,47905,Lafayette,Indiana,Northwest,
BX-823-025,BMW of Schererville,638- 995-7695,46375,Schererville,Indiana,Northwest,
BX-748-475,Basney BMW,559- 594-0806,46637,South Bend,Indiana,Northwest,
BX-001-246,Kimberly BMW of Davenport,916- 463-5632,52806,Davenport,Iowa,Midwestern,
BX-648-885,Dubuque BMW,954- 657-0629,52002,Dubuque,Iowa,Midwestern,
BX-420-586,BMW of North Liberty,035- 596-7730,52317,North Liberty,Iowa,Midwestern,
BX-700-393,BMW of Des Moines,664- 952-8505,50322,Urbandale,Iowa,Midwestern,
BX-998-915,Baron BMW ,404- 363-0184,66202,Merriam,Kansas,Midwestern,
BX-738-180,BMW of Topeka,966- 947-7067,66611,Topeka,Kansas,Midwestern,
BX-976-288,BMW of Wichita,972- 034-3458,67206,Wichita,Kansas,Midwestern,
BX-514-350,BMW of Bowling Green,202- 066-7572,42104,Bowling Green,Kentucky,Southeastern,
BX-055-373,Don Jacobs BMW,603- 192-9858,40503,Lexington,Kentucky,Southeastern,
BX-390-235,BMW of Louisville,202- 369-1526,40299,Louisville,Kentucky,Southeastern,
BX-456-885,Bluegrass BMW,910- 758- 8996,42001,Paducah,Kentucky,Southeastern,
BX-808-184,Walker BMW,866- 225-2035,71303,Alexandria,Louisiana,South Central,
BX-545-704,Brian Harris BMW,204- 439-2172,70817,Baton Rouge,Louisiana,South Central,
BX-294-337,Peake BMW,100- 857-5718,70062,Kenner,Louisiana,South Central,
BX-546-269,Moss BMW,493-329-7223,70501,Lafayette,Louisiana,South Central,
BX-979-106,Orr BMW,787- 080-0413,71105,Shreveport,Louisiana,South Central,
BX-965-478,BMW of Westbrook,287- 968-9932,04092,Westbrook,Maine,Northeastern,
BX-512-076,BMW of Annapolis,335- 203-7996,21409,Annapolis,Maryland,Mid-Atlantic,
BX-779-988,BMW of Catonsville,525- 397-5811,21228,Baltimpre,Maryland,Mid-Atlantic,
BX-827-889,BMW of Bel Air,379- 485-6773,21014,Bel Air,Maryland,Mid-Atlantic,
BX-135-220,Northwest BMW,186- 333-2044,21117,Owings Mils,Maryland,Mid-Atlantic,
BX-256-372,BMW of Rockville,836- 459-3945,20852,Rock ville,Maryland,Mid-Atlantic,
BX-634-417,BMW of Silver Spring,564- 440-8315,20904,Silver Spring,Maryland,Mid-Atlantic,
BX-130-632,Passport BMW ,690- 297-4133,20746,Sutiland,Maryland,Mid-Atlantic,
BX-772-781,BMW of Towson,410- 720-5054,21204,Towson,Maryland,Mid-Atlantic,
BX-570-511,BMW of Shrewbury,282- 366-1695,01545,Shrewbury,Massachusetts,Northeastern,
BX-819-697,Herb Chambers BMW of Sudbury,083- 911-8170,01776,Sudbury,Massachusetts,Northeastern,
BX-852-873,BMW of West Springfield,630- 947-7088,01089,West Springfield,Massachusetts,Northeastern,
BX-875-959,Herb Chambers BMW of Boston,527- 126-3144,02134,Boston,Massachusetts,Northeastern,
BX-230-081,BMW of Cape Cod,516- 811-2127,02601,Hyannis,Massachusetts,Northeastern,
BX-016-903,BMW of Norwood,442- 250-0571,02062,Norwood,Massachusetts,Northeastern,
BX-848-892,BMW of Peabody,557- 154-7495,01960,Peabody,Massachusetts,Northeastern,
BX-059-279,Flynn BMW,932- 372-8773,01201,Pittsfiled,Massachusetts,Northeastern,
BX-224-349,South Shore BMW,562- 950-9586,02370,Rockland,Massachusetts,Northeastern,
BX-042-943,BMW of Ann Arbor,342- 763-7888,48103,Ann Arbor,Michigan,Midwestern,
BX-564-733,Erhard BMW of Bloomfield,067- 314-7259,48302,Bloomfield,Michigan,Midwestern,
BX-450-843,Erhard BMW of Farmington Hills,944- 889-3765,48335,Farmington Hills,Michigan,Midwestern,
BX-432-447,Grand Blanc BMW,594- 521-3882,48439,Grand Blanc,Michigan,Midwestern,
BX-925-561,Sharpe BMW,892- 379-9759,49508,Grand Rapids,Michigan,Midwestern,
BX-204-879,Zeigler BMW of Kalamazoo,455- 076-7796,49008,Kalamazoo,Michigan,Midwestern,
BX-511-438,BMW of Okemos,737- 659-6481,48864,Okemos,Michigan,Midwestern,
BX-507-687,BMW of Rochester Hills,282- 928-4422,48317,Shelby Township,Michigan,Midwestern,
BX-566-080,BMW of Traverse City,467- 284-9974,49684,Traverse City,Michigan,Midwestern,
BX-179-149,Motorwerks BMW,074- 075-2396,55420,Bloomington,Minnesota,Midwestern,
BX-704-845,BMW of Minnetonka,094- 401-8374,55391,Minnetonka,Minnesota,Midwestern,
BX-680-786,Park Place BMW,992- 217-9949,55901,Roachester,Minnesota,Midwestern,
BX-253-925,Galleria BMW,975- 134-9220,39540,D'lberville,Mississippi,Southeastern,
BX-203-779,Herrin-Gear BMW,149- 540-5930,39202,Jackson,Mississippi,Southeastern,
BX-566-605,BMW of Meridian,517- 232-4436,39301,Meridian,Mississippi,Southeastern,
BX-834-623,BMW of Columbia (Missouri),007- 555-3176,65203,Columbia,Missouri,Midwestern,
BX-613-572,Plaza BMW,157- 967-5797,63141,Creve Coeur,Missouri,Midwestern,
BX-523-145,BMW of Kansas City,154- 087-7673,64114,Kansas City,Missouri,Midwestern,
BX-592-878,BMW of West St. Louis,119- 731-6859,63011,Manchester,Missouri,Midwestern,
BX-032-845,Autohaus BMW,187- 193-9275,63143,Saint Louis,Missouri,Midwestern,
BX-114-902,BMW of Springfied (Missouri),769- 303-3015,65809,Springfield,Missouri,Midwestern,
BX-717-712,BMW of Lincoln,225- 730-0893,68521,Lincoln,Nebraska,Midwestern,
BX-868-910,BMW of Omaha,656- 293-0444,68114,Omaha,Nebraska,Midwestern,
BX-524-558,BMW of Henderson,612- 962-6683,89014,Henderson,Nevada,Western,
BX-546-074,BMW of Las Vegas,051- 008-3245,89117,Las Vegas,Nevada,Western,
BX-835-240,Bill Pearce BMW,010- 561-1601,895117,Reno,Nevada,Western,
BX-248-791,Tulley BMW of Manchester,272- 977-6354,03103,Manchester,New Hampshire,Northeastern,
BX-354-950,Tulley BMW of Nahua,286- 094-3995,03060,Nashua,New Hampshire,Northeastern,
BX-558-002,BMW of Stratham,765- 327-6635,03885,Stratham,New Hampshire,Northeastern,
BX-994-557,BMW of Bloomfield,102- 033-9567,07003,Bloomfield,New Jersey,Northeastern,
BX-499-574,BMW of Bridgewater,035- 518-5027,08807,Bridgewater,New Jersey,Northeastern,
BX-063-274,Circle BMW,267- 634-7973,07724,Eatontown,New Jersey,Northeastern,
BX-822-126,Open Road BMW,133- 511-6525,08817,Edison,New Jersey,Northeastern,
BX-236-319,BMW of Atlantic City,755- 726-6733,08234,Egg Harbor Township,New Jersey,Northeastern,
BX-614-004,Flemington BMW,033- 915-3146,08822,Flemington,New Jersey,Northeastern,
BX-972-419,BMW of Freehold,161- 927-4503,07728,Freehold,New Jersey,Northeastern,
BX-233-000,Princeton BMW,811- 236-1123,08619,Hamilton,New Jersey,Northeastern,
BX-594-003,BMW of Roxbury,659- 856-3836,07847,Kenvil (Roxbury),New Jersey,Northeastern,
BX-209-275,BMW of Morristown,686- 708-3811,07960,Morristown,New Jersey,Northeastern,
BX-261-562,BMW of Mt. Laurel,366- 984-0603,08054,Mount Laurel,New Jersey,Northeastern,
BX-870-218,BMW of Newton,627- 985-7128,07860,Newton,New Jersey,Northeastern,
BX-742-474,BMW of Ramsey,268- 559-6888,07446,Ramsey,New Jersey,Northeastern,
BX-765-824,Park Avenue BMW,979- 436-9153,07662,Rochelle Park,New Jersey,Northeastern,
BX-720-140,BMW of Springfiled (New Jersey),258- 461-4862,07081,Spring Township,New Jersey,Northeastern,
BX-036-118,BMW of Tenafly,516- 636-6860,07670,Tenafly,New Jersey,Northeastern,
BX-779-297,BMW of Turnersville,333- 478-6104,08012,Turnersville,New Jersey,Northeastern,
BX-197-393,Paul Miller BMW,272- 384-9004,07470,Wayne,New Jersey,Northeastern,
BX-317-800,Sandia BMW,380- 596-3013,87109,Albuquerque,New Mexico,southwest,
BX-535-110,Santa Fe BMW,547- 821-0289,87505,Santa Fe,New Mexico,southwest,
BX-059-208,Habberstad BMW of Bay Shore,140- 479-0103,11706,Bay Shore,Newyork,Wastern,
BX-585-234,BMW of Brooklyn,838- 998-5998,11209,Brookyn,Newyork,Wastern,
BX-659-375,Burdick BMW,827- 959-6976,13039,Cicero,Newyork,Wastern,
BX-936-518,BMW of Bayside,278- 070-1631,11362,Douglaston,Newyork,Wastern,
BX-171-383,Gault Auto Sport BMw,246- 837-3271,13760,Endicott,Newyork,Wastern,
BX-099-945,BMW of Freeport,802- 442-5273,11520,Freeport,Newyork,Wastern,
BX-306-280,BMW of South Albany,902- 584-2681,12077,Glenmont,Newyork,Wastern,
BX-426-624,Orange County BMW,531- 364-0960,10926,Harriman,Newyork,Wastern,
BX-653-127,Habberstad BMW ,451- 957-5767,11746,Huntington Station,Newyork,Wastern,
BX-708-989,Keeler BMW,368- 026-9465,12110,Latham,Newyork,Wastern,
BX-234-667,BMW of Mamaroneck,162- 102-7161,10543,Mamaroneck,Newyork,Wastern,
BX-669-951,BMW Mt. Kisco,389- 252-3745,10549,Mount Kisco,Newyork,Wastern,
BX-659-812,BMW of Manhattan,171- 236-3615,10019,New York,Newyork,Wastern,
BX-880-360,BMW of Oyster Bay,450- 175-0686,11771,Oyster Bay,Newyork,Wastern,
BX-210-070,BMW of the Hudson Valley,141- 571-3065,12601,Poughkeepsie,Newyork,Wastern,
BX-988-656,BMW of Rochester,912- 938-9176,14623,Rochester,Newyork,Wastern,
BX-253-419,Competition BMW of Smithtown,494- 756-0765,11780,Saint James,Newyork,Wastern,
BX-715-946,BMW of Southampton,226- 001-2085,11968,Southampton,Newyork,Wastern,
BX-102-507,Wide World BMW,775- 561-0331,10977,Spring Valley,Newyork,Wastern,
BX-645-501,BMW of Utica,766- 843-0622,13502,Utica,Newyork,Wastern,
BX-625-105,Rallye BMW,158- 994-5039,11590,Westbury,Newyork,Wastern,
BX-814-674,BMW of Westchester,568- 292-9562,10607,White Plains,Newyork,Wastern,
BX-312-370,Towne BMW,854- 793-1626,14221,Williamsville,Newyork,Wastern,
BX-485-828,Hendrick BMW,479- 238-5840,28227,Charlottesville,North Carolina,Southeastern,
BX-086-446,Hendrick BMW Northlake,147- 693-7578,28269,Charlottesville,North Carolina,Southeastern,
BX-065-690,BMW of Southpoint,958- 534-3391,27713,Durham,North Carolina,Southeastern,
BX-280-677,Valley Auto World BMW,935- 881-1197,28303,Fayetteville,North Carolina,Southeastern,
BX-233-872,BMW of Asheville,192- 618-0622,28732,Fletcher,North Carolina,Southeastern,
BX-322-595,Crown BMW,850- 269-9665,27407,Greenboro,North Carolina,Southeastern,
BX-142-122,Sale BMW,447- 605-6333,28504,Kinston,North Carolina,Southeastern,
BX-485-044,Leith BMW,337- 307-4306,27616,Releigh,North Carolina,Southeastern,
BX-764-657,BMW of Wailimington,237- 709-2350,28403,Wilmington,North Carolina,Southeastern,
BX-465-315,Flow BMW,999- 687-4369,27127,Winston Salem,North Carolina,Southeastern,
BX-995-376,BMW of Akron,455- 193-7964,44302,Akron,Ohio,Midwestern,
BX-157-410,Preston BMW,232- 900-6868,44512,Boardman,Ohio,Midwestern,
BX-180-004,The BMW Store,693- 029-0613,45227,Cincinnati,Ohio,Midwestern,
BX-158-038,BMW of Cincinnati North,904- 369-8263,45246,Cincinnati,Ohio,Midwestern,
BX-310-185,Kelly BMW,225- 349-5943,43230,Columbus,Ohio,Midwestern,
BX-045-953,BMW of Dayton,701- 817-5635,45414,Dayton,Ohio,Midwestern,
BX-930-556,Voss Village BMW,040- 786-8189,45459,Dayton,Ohio,Midwestern,
BX-404-710,MAG BMW of Dublin,087- 005-2963,43017,Dublin,Ohio,Midwestern,
BX-811-821,BMW of Middleburg Heights,632- 205-2720,44130,Middleburg Heights,Ohio,Midwestern,
BX-920-226,Cain BMW,140- 690-1977,44720,North Canton,Ohio,Midwestern,
BX-937-436,BMW Cleveland,079- 882-1420,44139,Solon,Ohio,Midwestern,
BX-555-878,BMW of Toledo,368- 098-7916,43617,Toledo,Ohio,Midwestern,
BX-140-775,BMW of Westlake,008- 669-2551,44145,Westlake,Ohio,Midwestern,
BX-196-628,Classic BMW (Ohio),093- 756-1857,44094,Willoughby hills,Ohio,Midwestern,
BX-401-911,Jackie Cooper Imports,100- 259-3569,73013,Edmond,Oklahoma,South-central,
BX-759-667,BMW of Tulsa,037- 672-1741,74133,Tulsa,Oklahoma,South-central,
BX-007-093,Kuni BMW,475- 442-8248,97005,Beaverton,Oregon,Western,
BX-790-263,Kendall BMW of Bend,054- 626-1045,97702,Bend,Oregon,Western,
BX-835-370,BMW of Eugene,039- 932-4544,97401,Eugene,Oregon,Western,
BX-528-103,Medford BMW,327- 108-3132,97504,Medford,Oregon,Western,
BX-304-473,BMW Portland,271- 376-5108,97201,Portland,Oregon,Western,
BX-913-120,BMW of Salem,550- 891-5715,97301,Salem,Oregon,Western,
BX-772-825,BMW of Williamsport,455- 766-1617,17756,Muncy,Pennsylvania,Southeastern,
BX-082-302,P&W BMW,151- 025-2031,15213,Pittsburgh,Pennsylvania,Southeastern,
BX-532-628,BMW of Reading,747- 072-2267,19607,Reading,Pennsylvania,Southeastern,
BX-601-407,Daniels BMW,574- 830-9577,18104,Allentown,Pennsylvania,Southeastern,
BX-776-876,BMW of the Main Line,883- 725-5904,19004,Bala Cynwyd,Pennsylvania,Southeastern,
BX-393-693,Bobby Rahal BMW of South Hills,075- 778-9686,15317,Canonsburg,Pennsylvania,Southeastern,
BX-855-175,BMW of Devon,351- 137-0566,19333,Devon,Pennsylvania,Southeastern,
BX-914-627,Thompson BMW,341- 415-2431,18901,Doylestown,Pennsylvania,Southeastern,
BX-265-226,New Motors BMW,114- 732-1682,16509,Erie,Pennsylvania,Southeastern,
BX-233-371,West German BMW,291- 700-7868,19034,Fort Washington,Pennsylvania,Southeastern,
BX-421-600,Laurel BMW,171- 457-6455,15902,Johnstown,Pennsylvania,Southeastern,
BX-445-299,Faulker BMW,424- 326-0197,17601,Lancaster,Pennsylvania,Southeastern,
BX-941-604,Sun Motor Cars BMW,439- 944-0149,17050,Mechanicsburg,Pennsylvania,Southeastern,
BX-470-881,A & L BMW,071- 476-1004,15416,Monroeville,Pennsylvania,Southeastern,
BX-146-917,Tom Hesser BMW,826- 166-8087,18509,Scranton,Pennsylvania,Southeastern,
BX-288-243,Sewickley BMW,941- 538-4202,15143,Sewickley,Pennsylvania,Southeastern,
BX-165-380,Joel Confer BMW,065- 910-8573,16803,State College,Pennsylvania,Southeastern,
BX-488-482,Otto's BMW,860- 707-8518,19382,West Chester,Pennsylvania,Southeastern,
BX-444-371,Wyoming Valley BMW,721- 039-9072,18702,Wilkes-Barre,Pennsylvania,Southeastern,
BX-501-577,Apple BMW of York,666- 974-7817,17404,York,Pennsylvania,Southeastern,
BX-878-310,BMW of Newport,039- 770-2531,02842,Middletown,Rhode Island,Northeastern,
BX-884-430,BMW of Warwick,444- 784-7518,02886,Warwick,Rhode Island,Northeastern,
