Car_id,Car_series,Car_type,Car_colors,Car_Price
BMW-S4c-CP,Series 4 COUPE ,Coupe,"Alpine White, Jet Black, Black Sapphire Metallic, Mineral White Metallic, Sunset Orange Metallic, Portimao Blue Metallic, San Remo Green Metallic, Arctic Race Blue Metallic, Brooklyn Grey Metallic, Skyscraper Grey Metallic, Dravit Grey Metallic, Tanzanite Blue II Metallic, Aventurin Red Metallic","$47,400"
BMW-S8c-CP,Series 8 COUPE,Coupe,"Alpine White, Jet Black, Black Sapphire Metallic, Mineral White Metallic, Sunset Orange Metallic, Portimao Blue Metallic, Tanzanite Blue II Metallic, San Remo Green Metallic, Skyscraper Grey Metallic, Aventurin Red Metallic, Frozen Pure Grey Metallic, Frozen Tanzanite Blue Metallic ","$87,500"
BMW-M2c-CP,M2 COUPE,Coupe,"Alpine White, Zandvoort Blue, Black Sapphire Metallic, Toronto Red Metallic, Brooklyn Grey Metallic","$62,850"
BMW-M4c-CP,M4 COUPE,Coupe,"Alpine White,Sao Paulo Yellow,Black Sapphire Metallic,Portimao Blue Metallic, Dravit Grey Metallic,Toronto Red Metallic, Tanzanite Blue II Metallic, Isle Of Man Green Metallic, Brooklyn Grey Metallic, Skyscraper Grey Metallic, Aventurin Red Metallic, Frozen Brilliant White Metallic, Frozen Portimao Blue Metallic","$78,300"
BMW-M8c-CP,​M8 COUPE,Coupe,"Alpine White, Black Sapphire Metallic, Marina Bay Blue Metallic, Dravit Grey Metallic, Tanzanite Blue II Metallic, Isle Of Man Green Metallic, Brooklyn Grey Metallic, Skyscraper Grey Metallic, Aventurin Red Metallic, Frozen Pure Grey Metallic, Frozen Tanzanite Blue Metallic ","$139,100"
BMW-S4-CVB,Series 4 Convertible,Convertibles,"Alpine White,Jet Black,Black Sapphire Metallic,Mineral White Metallic,Sunset Orange Metallic,Portimao Blue Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,San Remo Green Metallic,Arctic Race Blue Metallic,Brooklyn Grey Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic","$55,500"
BMW-S8-CVB,Series 8 Convertible,Convertibles,"Alpine White,Carbon Black Metallic,Black Sapphire Metallic,Mineral White Metallic,Sunset Orange Metallic,Portimao Blue Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,San Remo Green Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Frozen Pure Grey Metallic,Frozen Tanzanite Blue Metallic","$97,100"
BMW-Z4-CVB,Z4 Convertible,Convertibles,"Alpine White,Black Sapphire Metallic,Portimao Blue Metallic,San Francisco Red Metallic,Skyscraper Grey Metallic,Thundernight Metallic","$52,800"
BMW-M4-CVB,M4 Convertible,Convertibles,"Alpine White,Sao Paulo Yellow,Black Sapphire Metallic,Portimao Blue Metallic,Dravit Grey Metallic,Toronto Red Metallic,Tanzanite Blue II Metallic,Isle Of Man Green Metallic,Brooklyn Grey Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Frozen Brilliant White Metallic,Frozen Portimao Blue Metallic","$89,700"
BMW-M8-CVB,M8 Convertible,Convertibles,"Alpine White,Black Sapphire Metallic,Marina Bay Blue Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,Isle Of Man Green Metallic,Brooklyn Grey Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Frozen Pure Grey Metallic,Frozen Tanzanite Blue Metallic","$148,700"
